MatchId,Year,TournamentRound,PieRound,Pie,Votes,Opponent,OpponentVotes,Result
D1Ld4a5ZgnYHv,2,2,1,Whiskey Silk,1,Butterscotch Pecan Blondie,3,Loss
Gn40Vjl9RSXM,1,1,1,Amish Apple,2,Apple (Double Crust or Crumb),1,Win
E_497uTCJl33,1,2,2,Amish Apple,3,Cherry Almond,0,Win
D5atJEv9D1e7W,1,3,3,Amish Apple,1,Chocolate Bourbon Pecan,2,Loss
,2,1,0,Amish Apple,0,,,Bye
R7Mt-1EBwgHsO,2,2,1,Amish Apple,4,Pumpkin Marshmallow,0,Win
zJwuw7KQ2-RyE4,2,3,2,Amish Apple,3,Caramel Apple,1,Win
scjHT3QycJlGvW,2,4,3,Amish Apple,1,Strawberry Blackberry,3,Loss
,1,1,0,Hazelnut Cream,0,,,Bye
KWfg43pS-Clw,1,2,1,Hazelnut Cream,0,Carrot Cake,3,Loss
,2,1,0,Hazelnut Cream,0,,,Bye
VEKPZMn3nwqmY,2,2,1,Hazelnut Cream,1,Blueberry Crisp,3,Loss
,1,1,0,Funky Monkey,0,,,Bye
cTP_v47MvkCw,1,2,1,Funky Monkey,0,Boozy Blackberry Orange Cream ,3,Loss
,2,1,0,Funky Monkey,0,,,Bye
cYXr5eW5lNyv7,2,2,1,Funky Monkey,2,Strawberry Blueberry,2,TieWin
vFqprYlpCsQwIG,2,3,2,Funky Monkey,1,Key Lime,3,Loss
K_ESTXQL86bW,1,1,1,Apple Chai,3,Apple Walnut Raisin,0,Win
hJoTL-3bap3N,1,2,2,Apple Chai,1,Chocolate Bourbon Pecan,2,Loss
RtjCUobWrxTtx,2,1,1,Apple Chai,3,"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)",1,Win
aAjgTfPJ2SOmU,2,2,2,Apple Chai,3,Raspberry Muffin,1,Win
TleMcf-VoMlkzw,2,3,3,Apple Chai,3,Cranberry Apple ,1,Win
6ICjZJwLS3tZh9,2,4,4,Apple Chai,1,Black Bottom Mocha,3,Loss
5IXvaeVXTpKe,1,1,1,Banana Coconut Cream,1,Banana Cream,2,Loss
12SrkUjjCocAU,2,1,1,Banana Coconut Cream,2,Strawberry Sour Cream ,2,TieLoss
R35Vv2eEefoLd,2,1,1,Peanut Chip,1,Pumpkin Cream Cheese ,3,Loss
sv8jkhCephck,1,1,1,Peanut Chip,2,Ping Colada,1,Win
ggElCbjFQ3g1,1,2,2,Peanut Chip,0,Tres Leches,3,Loss
o5hQ_ZHVmT0h,1,1,1,Strawberry Blueberry,1,Strawberry Blackberry,2,Loss
YgF3Z745hDWiV,2,1,1,Strawberry Blueberry,3,Strawberry/Rhubarb (Seasonal • Spring) ,1,Win
cYXr5eW5lNyv7,2,2,2,Strawberry Blueberry,2,Funky Monkey,2,TieLoss
,1,1,0,Southern Velvet,0,,,Bye
onNkY6NCLpm8,1,2,1,Southern Velvet,1,Peach (Seasonal - Summer) ,2,Loss
,2,1,0,Southern Velvet,0,,,Bye
aA3nNDQIjfFlw,2,2,1,Southern Velvet,1,Key Lime,3,Loss
v2crbm2N-kUF,1,1,1,Cabernet Berry,1,Butterscotch Pecan Blondie,2,Loss
,2,1,0,Cabernet Berry,0,,,Bye
muVOyq6GwxUtn,2,2,1,Cabernet Berry,3,Chocolate Chip Cookie (Nuts or M&M's) ,1,Win
58Y6ZfAtwvTsog,2,3,2,Cabernet Berry,3,Blackberry,1,Win
CHJFtIu1QoJnQD,2,4,3,Cabernet Berry,2,Chocolate Bourbon Pecan,2,TieLoss
mKg6X31mxzXA,1,1,1,Lemon Meringue ,2,Margarita,1,Win
X_b6shxEC7Iw,1,2,2,Lemon Meringue ,3,Snickers,0,Win
Yi3GSCEtAlQ90,1,3,3,Lemon Meringue ,2,Strawberry Lemonade ,1,Win
pGH8BcQKeG-IO,1,4,4,Lemon Meringue ,2,Tres Leches,1,Win
eLDay4J_Wez2T,1,5,5,Lemon Meringue ,2,Sweet Potato,1,Win
,2,1,0,Lemon Meringue ,0,,,Bye
48KiHIr4n6fBV,2,2,1,Lemon Meringue ,1,Bourbon Chocolate Pecan,3,Loss
A7bxHvLdrTkp,1,1,1,Key Lime,3,Lemon Cream,0,Win
-FJVN6L_eWAF,1,2,2,Key Lime,3,Reese's,0,Win
jgyv3LMxDtenR,1,3,3,Key Lime,1,Sweet Potato,2,Loss
SkBhWNTAOfkAp,2,1,1,Key Lime,4,Boston Cream,0,Win
aA3nNDQIjfFlw,2,2,2,Key Lime,3,Southern Velvet,1,Win
vFqprYlpCsQwIG,2,3,3,Key Lime,3,Funky Monkey,1,Win
-L2MkpibgzSDdh,2,4,4,Key Lime,2,Blueberry Muffin,2,TieWin
BUAFnCuvwaJuwu,2,5,5,Key Lime,0,Black Bottom Mocha,4,Loss
R5oE8OeiheDDc,2,1,1,Sugar Crack,0,Peach (Seasonal - Summer) ,4,Loss
DRhE91yOACAr,1,1,1,Sugar Crack,0,Sweet Potato,3,Loss
,1,1,0,Chocolate Chip Cookie (Nuts or M&M's) ,0,,,Bye
olzJlHKL9bkW,1,2,1,Chocolate Chip Cookie (Nuts or M&M's) ,0,Bourbon Chocolate Pecan,3,Loss
,2,1,0,Chocolate Chip Cookie (Nuts or M&M's) ,0,,,Bye
muVOyq6GwxUtn,2,2,1,Chocolate Chip Cookie (Nuts or M&M's) ,1,Cabernet Berry,3,Loss
,1,1,0,Chocolate Pecan,0,,,Bye
WT3U3cSQsMX_,1,2,1,Chocolate Pecan,0,Butterscotch Pecan Blondie,3,Loss
7_07QpnszY2FA,2,1,1,Chocolate Pecan,3,Maple Bourbon Walnut ,1,Win
tESHH2y0pEh0W,2,2,2,Chocolate Pecan,2,Blackberry,2,TieLoss
SwZPzAUxaj9Q,1,1,1,Boston Cream,1,Buckeye,2,Loss
SkBhWNTAOfkAp,2,1,1,Boston Cream,0,Key Lime,4,Loss
,1,1,0,Chocolate Bourbon Pecan,0,,,Bye
hJoTL-3bap3N,1,2,1,Chocolate Bourbon Pecan,2,Apple Chai,1,Win
D5atJEv9D1e7W,1,3,2,Chocolate Bourbon Pecan,2,Amish Apple,1,Win
_PtIyi8qDLafX,1,4,3,Chocolate Bourbon Pecan,2,Blueberry Crisp,1,Win
